,Features,Coefficients
11,gym,-0.08595192440960678
10,food,-0.08438739480008171
8,restaurant,-0.08436749013038838
23,clothing_store,-0.07745868945267442
36,bar,-0.07420002454455046
35,lodging,-0.06819947866829885
21,police,-0.061820205128262425
38,night_club,-0.060875428720086486
51,home_goods_store,-0.05791067423585066
74,department_store,-0.057121912734198525
69,travel_agency,-0.055435581010158434
9,cafe,-0.05466729857206968
58,meal_delivery,-0.053801094880887204
22,shoe_store,-0.05250740025603995
83,supermarket,-0.05071213014095535
72,bank,-0.050691656793472685
42,atm,-0.04954603177895702
17,grocery_or_supermarket,-0.049108488950638254
15,insurance_agency,-0.048961035319478895
14,store,-0.04816963165996416
33,transit_station,-0.04747567934231483
76,furniture_store,-0.047062690010084625
19,shopping_mall,-0.0468299712060538
44,parking,-0.04345056950029291
2,premise,-0.042926390245860646
27,storage,-0.04281686649348006
6,museum,-0.04111554478072064
40,embassy,-0.04093078227256368
78,car_rental,-0.04054120935728506
85,plumber,-0.040505344792127404
68,courthouse,-0.03969016715086496
29,car_wash,-0.03891400052152619
59,florist,-0.0386338956309008
64,roofing_contractor,-0.03765089528035811
18,real_estate_agency,-0.036445423468582254
60,drugstore,-0.03618797395413971
75,jewelry_store,-0.03292224046856062
57,moving_company,-0.031201864322142992
80,subway_station,-0.030506509713650425
16,neighborhood,-0.029137536384772757
91,synagogue,-0.02854800122480527
70,art_gallery,-0.02833403629697197
82,veterinary_care,-0.027111593214271073
28,movie_rental,-0.02707167003009618
20,meal_takeaway,-0.025582975978877782
26,dentist,-0.024745799990929525
34,general_contractor,-0.02431065796621778
13,finance,-0.023978319588744256
87,funeral_home,-0.02329586757582439
1,political,-0.023255292446561243
92,physiotherapist,-0.023026349006850223
93,bowling_alley,-0.022010506998187063
89,natural_feature,-0.021987541899462126
67,hardware_store,-0.01963010797071186
77,book_store,-0.017735368034892868
0,locality,-0.017627398056069502
54,electrician,-0.016829292506533318
95,bicycle_store,-0.01660810108233333
96,zoo,-0.01657039116223555
94,light_rail_station,-0.016531514674427396
71,painter,-0.0125916189419181
30,lawyer,-0.010870055292524772
50,university,-0.00924495377140778
3,point_of_interest,-0.008970933030732446
4,establishment,-0.008970933030732446
81,spa,-0.005491842966982605
5,tourist_attraction,-0.0046432025648589234
55,hospital,-0.003121201580286499
49,beauty_salon,-0.002940130844262639
84,laundry,0.00026988158282506775
31,car_dealer,0.0039049415718845275
12,health,0.008527386275329753
86,fire_station,0.012487817210712893
45,secondary_school,0.017861967154391097
53,hair_care,0.01975287683639511
65,electronics_store,0.02427662179120618
61,convenience_store,0.024294772780013282
66,pharmacy,0.026116829638360158
39,movie_theater,0.028066281626103168
73,cemetery,0.028991804340392124
56,locksmith,0.031196324470105834
43,accounting,0.032159011362039684
52,doctor,0.032430866806856924
90,mosque,0.036447728428427834
63,gas_station,0.04373497324020819
32,liquor_store,0.045113993606646294
48,car_repair,0.045991650442280776
88,post_office,0.06301028820692355
79,stadium,0.06705074285907892
37,bakery,0.08316577659776174
62,library,0.09607800670016296
41,local_government_office,0.09772513780258471
24,primary_school,0.09926320257968745
25,school,0.11024287246558562
7,park,0.1396337627769065
47,place_of_worship,0.16163769806058598
46,church,0.16767093730909555
